Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 Afghanistan,4710.64,4599.3578,4476.818,4432.7734,4380.2483,4264.9077,4261.2064,3984.2143,3039.1609,2645.5969
 Africa,8643.4,8689.3,8723.2,8657.8,8710.1,8752.2,8747.8,8329.5,8481,8576.8
 Albania,13910.8446,14015.6729,14183.0044,14514.3039,14936.5775,15419.3226,15629.6655,15039.3572,16361.593,17153.6549
 Algeria,15356.3118,15607.5761,15867.344,16076.8312,16011.6947,15958.5925,15893.0155,14883.4104,15186.7864,15452.9815
 Americas,37458,37678.3,38015.9,37783.7,38062.4,38476.9,38621.6,36590.8,38507.6,39096.1
 Andorra,59342.3181,60464.184,61000.5864,62385.2802,61154.8956,60655.1723,60399.3532,52418.1482,55588.319,59651.5204
 Angola,15723.328,15870.1202,15438.8551,14496.5912,13954.3017,13289.1647,12742.5707,11630.8519,11398.1292,11373.9122
 Anguilla,99454.7053,99035.2831,97967.5643,92570.8642,84622.5647,90294.0736,93346.3134,64118.7703,71148.6737,87483.6772
 Antigua and Barbuda,24852.9708,24963.281,24890.745,25489.1416,25721.8457,27133.2344,27631.3736,22128.6231,23642.5708,25607.7107
 Argentina,21071.0529,20246.4881,20507.8221,19817.6684,20122.1249,19354.9421,18736.5729,16689.3132,18292.0023,19011.4723
 Armenia,12446.3547,12898.1583,13338.4571,13409.782,14476.1455,15307.0317,16567.8084,15474.7201,16488.4653,18661.7258
 Aruba,43413.4093,42081.2187,41265.2935,41505.7974,44026.7872,44732.6665,43415.5461,32858.3392,41745.4579,45847.8019
 Asia,15098.3,15657.1,16127.8,16694.5,17320.3,17946.1,18414.4,17990.8,18992.6,19478
 Asia (excl. Middle East),13539.4,14132.1,14697.4,15329.1,16004.5,16678.6,17209.7,16843.6,17797,18285.2
 Australia,55370.2205,55797.0929,54839.4859,54258.3136,54547.0036,55163.8237,55393.3062,54376.6813,54855.5085,56533.7976
 Australia and New Zealand,53615.5,54082.7,53478,53185.5,53680.3,54285.4,54426.6,53320.5,53986.8,55509.8
 Austria,57104.9278,56870.5421,56735.8108,57216.3644,58045.3485,59094.1479,59627.1369,55451.0068,57674.6126,60306.0099
 Azerbaijan,18144.4654,18314.9004,18218.134,17397.8072,17209.4637,17267.7678,17511.7697,16643.9246,17503.8331,18185.4715
 Bahamas,43247.5738,43169.1839,42765.9311,41659.5592,41950.9709,42431.6026,41428.9846,31247.3115,36112.9955,40744.429
 Bahrain,56311.9665,56774.9776,56135.3912,55963.2102,56172.9434,56051.4979,57134.1207,55255.3107,57365.8259,59834.6854
 Bangladesh,5786.621,5994.6166,6242.3062,6532.2933,6797.7889,7128.2903,7521.0294,7607.5568,7954.3704,8337.5858
 Barbados,17948.9729,17846.5125,18182.7632,18543.7726,18525.0245,18258.7209,18198.4904,15779.3665,15555.8845,17219.5422
 Belarus,19796.6732,20168.9117,19435.7499,18992.3568,19526.8511,20195.6038,20547.0978,20506.0442,21139.9811,20251.0914
 Belgium,53842.2491,54303.365,55039.2676,55373.8026,55900.446,56545.6541,57457.4462,54149.8461,57563.241,58998.0413
 Belize,13841.2788,13893.8702,13861.8145,13413.1458,12758.9532,12500.0032,12637.4643,10605.1543,12195.0287,12947.2806
 Benin,5199.6803,5351.7145,5269.2891,5273.1443,5398.2375,5581.4517,5781.1646,5822.8193,6056.6951,6248.9291
 Bermuda,88908.8105,85511.3134,86155.6457,85523.3772,88356.6639,87671.5878,87683.1964,81438.3001,83702.9378,86000.2957
 Bhutan,13156.9862,13595.829,14183.2599,15024.4093,15409.2312,15628.6048,16203.9605,14267.5062,14615.2766,15088.6521
 Bolivia,11201.34,11533.3984,11813.4617,12035.6479,12258.9439,12495.6132,12494.6976,11177.3123,11657.1434,11872.5042
 Bosnia and Herzegovina,12702.0571,12980.3908,13665.7281,14215.6234,14780.0302,15465.7546,16057.7336,15747.958,17144.1733,18043.7029
 Botswana,21822.6112,22484.2094,20855.6501,21795.5781,22119.6124,22479.8467,22618.1806,20176.0039,22116.6,22923.4267
 Brazil,21459.2413,21221.1902,20148.5653,19189.734,19150.117,19203.8892,19160.4064,18289.7325,18985.7194,19339.4824
 British Virgin Islands,46968.295,46901.7713,46173.9092,47550.7505,46357.3885,47899.5436,50362.0813,47853.5079,48420.2864,48858.082
 Brunei Darussalam,84229.3956,80616.1633,78891.3078,75640.7051,75423.2399,74327.13,76064.5988,75776.0718,73466.842,71229.8003
 Bulgaria,19507.8905,19825.9291,20671.015,21485.9578,22288.4448,23126.3894,24282.1234,23550.8007,25709.1452,27169.2165
 Burkina Faso,3569.3953,3611.2388,3636.0977,3730.0602,3834.2523,3959.2637,4047.3274,3995.555,4138.8543,4084.4377
 Burundi,1585.6855,1605.1105,1528.893,1514.4147,1498.3399,1479.4581,1453.6094,1414.6945,1417.2043,1399.5929
